Epoch,Train Loss,Train Accuracy,Valid Loss,Valid Accuracy
,,,,
1,1.535,0.449,1.951,0.428
2,1.294,0.566,1.545,0.524
3,1.218,0.601,1.467,0.564
4,1.165,0.63,1.526,0.544
5,1.133,0.651,1.393,0.613
6,1.018,0.714,1.306,0.658
7,0.971,0.733,1.292,0.662
8,0.948,0.75,1.307,0.655
9,0.937,0.757,1.29,0.67
10,0.916,0.768,1.284,0.683
11,0.896,0.781,1.282,0.689
12,0.888,0.788,1.281,0.687
13,0.886,0.783,1.285,0.69
14,0.889,0.788,1.278,0.691
15,0.882,0.786,1.277,0.693
16,0.879,0.79,1.28,0.691
17,0.885,0.786,1.278,0.692
18,0.881,0.79,1.278,0.693
19,0.876,0.792,1.277,0.692
20,0.879,0.793,1.278,0.692
