Epoch,Model,Optimizer,Batch size,Scheduler,Learning Rate,Train Loss,Train Accuracy
,,,,,,,,,
1,ResNet,AdamW,128,StepLR,0.0002,1.692,0.517
2,ResNet,AdamW,128,StepLR,0.0002,1.041,0.776
3,ResNet,AdamW,128,StepLR,0.0002,0.901,0.832
4,ResNet,AdamW,128,StepLR,0.0002,0.819,0.864
5,ResNet,AdamW,128,StepLR,0.0002,0.783,0.884
6,ResNet,AdamW,128,StepLR,0.0002,0.759,0.888
7,ResNet,AdamW,128,StepLR,0.0002,0.739,0.906
8,ResNet,AdamW,128,StepLR,0.0002,0.726,0.905
9,ResNet,AdamW,128,StepLR,0.0002,0.706,0.914
10,ResNet,AdamW,128,StepLR,2e-05,0.691,0.925
11,ResNet,AdamW,128,StepLR,2e-05,0.668,0.927
12,ResNet,AdamW,128,StepLR,2e-05,0.657,0.937
13,ResNet,AdamW,128,StepLR,2e-05,0.665,0.931
14,ResNet,AdamW,128,StepLR,2e-05,0.654,0.932
15,ResNet,AdamW,128,StepLR,2e-05,0.654,0.937
16,ResNet,AdamW,128,StepLR,2e-05,0.647,0.939
17,ResNet,AdamW,128,StepLR,2e-05,0.637,0.944
18,ResNet,AdamW,128,StepLR,2e-05,0.64,0.943
19,ResNet,AdamW,128,StepLR,2.0000000000000003e-06,0.635,0.94
20,ResNet,AdamW,128,StepLR,2.0000000000000003e-06,0.646,0.937
