Epoch,Train Loss,Train Accuracy,Valid Loss,Valid Accuracy
,,,,
1,1.487,0.519,1.368,0.583
2,1.407,0.558,1.329,0.601
3,1.374,0.574,1.319,0.605
4,1.355,0.584,1.298,0.611
5,1.338,0.591,1.286,0.617
6,1.325,0.596,1.278,0.621
7,1.321,0.599,1.276,0.622
8,1.322,0.6,1.277,0.619
9,1.32,0.599,1.274,0.623
10,1.319,0.6,1.275,0.622
11,1.317,0.602,1.274,0.622
12,1.319,0.599,1.274,0.622
13,1.318,0.599,1.273,0.623
14,1.317,0.601,1.273,0.623
15,1.316,0.604,1.273,0.623
16,1.316,0.603,1.273,0.623
17,1.318,0.601,1.273,0.623
18,1.316,0.602,1.273,0.623
19,1.316,0.603,1.273,0.623
20,1.315,0.601,1.273,0.623
